sample_index,set,cluster_id
2217,train,0
3405,train,2
2770,train,2
286,train,1
2245,train,0
2344,train,2
2002,train,2
3038,train,2
4731,train,2
1992,train,2
3145,train,2
736,train,2
2554,train,0
336,train,2
2314,train,0
2689,train,2
2673,train,2
4332,train,-1
1071,train,-1
2222,train,0
1779,train,2
2223,train,2
1859,train,2
4008,train,2
3813,train,0
3269,train,0
1488,train,0
498,train,2
4275,train,2
3433,train,2
2481,train,2
3138,train,2
2004,train,2
2949,train,2
3898,train,2
2091,train,0
2210,train,2
1919,train,2
1022,train,2
4411,train,2
4805,train,2
3454,train,2
4630,train,2
1902,train,2
665,train,2
3820,train,2
2559,train,2
1017,train,2
4896,train,2
2328,train,2
1207,train,2
1893,train,0
4037,train,2
1510,train,2
2439,train,2
245,train,2
1163,train,2
266,train,0
4253,train,2
1114,train,2
63,train,2
2515,train,2
2104,train,2
2855,train,2
4412,train,1
2988,train,2
3021,train,0
2732,train,2
4339,train,2
1957,train,2
3816,train,0
1237,train,2
103,train,0
2706,train,2
272,train,0
508,train,2
2649,train,2
4848,train,2
3873,train,2
865,train,2
4874,train,0
908,train,2
4707,train,1
3784,train,2
4804,train,2
1522,train,0
835,train,2
358,train,2
138,train,0
299,train,2
1556,train,2
1003,train,0
382,train,2
941,train,2
1807,train,2
3639,train,2
761,train,2
1770,train,2
2705,train,2
3243,train,2
1973,train,2
2221,train,0
1886,train,0
1402,train,0
1937,train,2
3676,train,0
4314,train,2
3728,train,2
1512,train,2
1188,train,2
3786,train,0
2100,train,2
3765,train,2
3336,train,0
108,train,2
2653,train,2
2240,train,2
2634,train,0
58,train,2
76,train,0
796,train,2
368,train,2
2042,train,2
785,train,2
3859,train,2
2910,train,2
1894,train,2
3017,train,2
3431,train,2
2792,train,2
1881,train,0
121,train,2
1965,train,2
2299,train,2
3539,train,2
910,train,0
124,train,2
1839,train,2
1586,train,2
1257,train,0
3340,train,2
3378,train,2
4382,train,2
1178,train,2
3999,train,1
3992,train,2
3604,train,2
442,train,2
4005,train,2
1942,train,2
925,train,2
4509,train,2
2080,train,2
1411,train,0
3365,train,0
2370,train,2
1509,train,2
1227,train,2
3497,train,2
4349,train,0
3185,train,2
324,train,2
2991,train,0
1815,train,2
3846,train,0
3203,train,2
4272,train,2
1498,train,2
1502,train,2
1006,train,0
2127,train,2
3861,train,0
3414,train,2
1467,train,2
1225,train,2
4684,train,2
3942,train,2
1216,train,2
4620,train,2
3396,train,2
420,train,2
3321,train,2
6,train,2
932,train,2
439,train,2
1313,train,0
678,train,2
4048,train,0
4535,train,2
1723,train,0
2201,train,2
4556,train,2
2057,train,2
2445,train,2
2664,train,2
1964,train,2
1905,train,2
4384,train,2
2715,train,2
2561,train,0
194,train,2
1474,train,0
2486,train,2
1211,train,2
2367,train,1
1657,train,2
2620,train,2
3273,train,2
3058,train,2
2154,train,2
1743,train,2
2407,train,0
1130,train,2
1461,train,2
276,train,2
2157,train,2
4252,train,2
2228,train,2
1302,train,0
2585,train,2
222,train,2
1921,train,2
3613,train,2
573,train,2
1236,train,2
3442,train,2
4111,train,2
1334,train,2
4427,train,2
418,train,1
1912,train,2
1104,train,0
257,train,2
295,train,2
3966,train,2
386,train,2
3213,train,2
3001,train,2
2964,train,2
2182,train,0
4266,train,0
3166,train,2
3089,train,2
4419,train,2
1563,train,2
1789,train,2
1400,train,2
712,train,2
2483,train,2
2456,train,2
3275,train,2
3831,train,2
1289,train,2
449,train,2
4490,train,2
3780,train,2
958,train,2
4073,train,0
654,train,2
3742,train,2
3132,train,2
2284,train,2
2694,train,2
2644,train,2
411,train,2
1784,train,2
2121,train,2
2309,train,0
2547,train,0
4242,train,2
4695,train,2
4222,train,0
4486,train,2
2587,train,0
3456,train,2
3270,train,2
4313,train,2
3467,train,2
430,train,2
4522,train,2
3866,train,2
1366,train,2
2187,train,2
3271,train,2
1176,train,2
4428,train,0
1476,train,0
3112,train,2
4641,train,2
102,train,2
1808,train,2
3319,train,2
1263,train,2
2815,train,2
3047,train,2
2301,train,2
4137,train,1
2659,train,2
4015,train,2
3080,train,2
3754,train,2
1643,train,2
4693,train,0
4162,train,2
1580,train,0
4350,train,2
4011,train,0
1356,train,2
3292,train,2
2840,train,2
2404,train,2
3305,train,0
2153,train,2
396,train,2
3360,train,2
1064,train,2
2290,train,0
2088,train,2
818,train,2
1983,train,0
1552,train,2
3575,train,2
816,train,2
1572,train,2
2879,train,2
4775,train,2
381,train,-1
4262,train,2
2226,train,0
3480,train,2
2242,train,0
1780,train,0
2646,train,2
3453,train,2
864,train,2
2932,train,2
4858,train,0
554,train,2
1159,train,2
1213,train,2
3779,train,2
2518,train,2
48,train,2
2297,train,0
700,train,0
652,train,2
3065,train,2
748,train,2
1455,train,2
4127,train,2
2339,train,2
2583,train,2
866,train,0
752,train,2
1644,train,2
92,train,2
2741,train,0
3011,train,0
2361,train,2
2550,train,2
1490,train,2
2812,train,2
4689,train,2
729,train,2
4545,train,2
3688,train,2
2177,train,2
1745,train,2
2413,train,2
4687,train,2
3909,train,2
1110,train,2
3557,train,2
3917,train,2
4399,train,0
4086,train,2
346,train,0
1185,train,2
3892,train,2
1515,train,2
4592,train,2
578,train,2
75,train,2
1429,train,2
3651,train,2
4358,train,2
3693,train,2
4867,train,0
1846,train,2
131,train,1
178,train,2
4526,train,2
4394,train,2
4446,train,2
4120,train,2
1842,train,2
2025,train,2
2464,train,2
2303,train,2
604,train,2
1941,train,2
25,train,0
658,train,2
3221,train,2
2119,train,2
173,train,2
1611,train,2
437,train,2
331,train,0
3010,train,2
1454,train,0
342,train,2
3107,train,2
2764,train,2
1088,train,0
479,train,0
727,train,2
3674,train,2
976,train,2
2526,train,2
2889,train,2
1468,train,2
1224,train,2
4083,train,2
4750,train,2
1892,train,2
1299,train,2
2902,train,-1
4524,train,2
660,train,2
3856,train,0
2323,train,2
4597,train,2
4877,train,2
3717,train,2
2267,train,2
4448,train,2
267,train,2
2623,train,2
2528,train,0
3837,train,2
3492,train,0
3541,train,2
3616,train,0
4002,train,2
1278,train,2
4563,train,2
4443,train,2
1621,train,2
4214,train,2
4697,train,0
1896,train,2
4203,train,2
3290,train,2
2748,train,2
67,train,0
4479,train,2
4873,train,0
221,train,2
333,train,2
2883,train,0
3681,train,1
820,train,0
1226,train,2
2019,train,2
88,train,2
3975,train,2
