sample_index,set,cluster_id
7406,train,3
4038,train,4
7756,train,2
467,train,4
7532,train,4
1790,train,2
2858,train,4
2268,train,4
7433,train,2
1299,train,4
7482,train,2
2961,train,4
4780,train,4
5718,train,4
5325,train,4
5757,train,2
1257,train,2
1068,train,4
5935,train,4
2695,train,4
6349,train,3
500,train,4
2872,train,0
5987,train,4
1798,train,4
1189,train,4
1974,train,4
7097,train,2
2219,train,2
418,train,2
6766,train,4
943,train,2
5050,train,4
3192,train,2
499,train,4
6269,train,4
741,train,4
1656,train,2
7158,train,4
3627,train,4
8046,train,3
6228,train,4
5905,train,2
3530,train,2
2338,train,-1
3121,train,2
3887,train,2
6182,train,4
5567,train,4
7280,train,4
2112,train,4
6335,train,4
3592,train,0
2507,train,2
2926,train,-1
999,train,4
14,train,2
6591,train,3
4472,train,4
4717,train,2
4580,train,4
6743,train,4
4916,train,4
731,train,2
6069,train,4
1316,train,4
7451,train,2
3039,train,4
1954,train,2
3499,train,2
6022,train,-1
5988,train,2
129,train,4
6024,train,4
6627,train,-1
6396,train,3
4017,train,2
1318,train,4
4271,train,2
1541,train,4
7695,train,2
1220,train,4
7083,train,4
7915,train,4
5849,train,4
5200,train,2
6283,train,4
1719,train,4
2103,train,2
735,train,1
6254,train,4
6185,train,4
3416,train,4
5313,train,4
60,train,4
4775,train,4
4582,train,4
6243,train,4
1186,train,2
1110,train,4
4345,train,4
669,train,4
4304,train,2
4698,train,2
4514,train,0
6559,train,4
7152,train,4
6731,train,4
5416,train,4
3793,train,4
3014,train,4
2194,train,2
4607,train,4
5779,train,2
1643,train,4
5481,train,2
4535,train,-1
1863,train,-1
1036,train,4
344,train,4
806,train,2
3436,train,4
7025,train,2
4461,train,4
2622,train,4
1113,train,-1
5021,train,4
556,train,2
3056,train,4
4257,train,2
5746,train,-1
3995,train,0
7749,train,3
6014,train,4
4894,train,2
5687,train,2
2912,train,4
7502,train,3
4148,train,2
736,train,4
6698,train,4
714,train,4
4246,train,4
4114,train,4
7736,train,4
2132,train,4
4408,train,4
3074,train,4
5646,train,4
7853,train,4
283,train,2
7271,train,4
955,train,2
2875,train,4
384,train,4
4209,train,4
2247,train,2
2329,train,4
3593,train,2
2707,train,2
6377,train,2
3054,train,4
3726,train,2
376,train,4
1701,train,4
5661,train,4
7112,train,-1
5670,train,2
1642,train,4
1128,train,4
6498,train,3
3033,train,4
5652,train,4
1754,train,2
1225,train,4
4442,train,2
2806,train,4
322,train,4
4560,train,4
6868,train,2
6982,train,0
3273,train,1
1200,train,2
5800,train,4
2721,train,4
1793,train,4
6080,train,4
1074,train,4
3277,train,0
5006,train,2
4543,train,4
3657,train,2
5795,train,-1
4601,train,4
1187,train,4
2543,train,4
4806,train,2
1242,train,4
3859,train,4
5404,train,4
8058,train,4
1449,train,2
1237,train,4
2908,train,4
4979,train,4
5992,train,4
4285,train,4
2119,train,2
5790,train,2
101,train,4
5265,train,2
3457,train,4
1783,train,4
6400,train,4
1073,train,4
5255,train,2
1487,train,4
7275,train,2
5161,train,2
3756,train,4
5023,train,4
4501,train,4
7330,train,3
6790,train,4
1636,train,4
3987,train,4
4498,train,2
5306,train,4
5511,train,2
3278,train,2
6075,train,2
6985,train,2
2059,train,-1
7789,train,2
7809,train,3
4387,train,2
5321,train,2
7706,train,4
7919,train,2
6529,train,3
4597,train,4
2518,train,4
7509,train,2
6672,train,3
7651,train,2
4945,train,2
7574,train,4
6299,train,3
3944,train,4
3630,train,4
5039,train,2
7319,train,2
2615,train,2
6779,train,4
7254,train,2
4112,train,2
1691,train,4
1795,train,4
5853,train,4
1931,train,4
2544,train,2
6528,train,4
2123,train,4
2191,train,4
4532,train,4
3916,train,4
405,train,4
6134,train,4
6550,train,2
117,train,4
2306,train,2
4555,train,4
4809,train,4
8004,train,4
3041,train,4
1513,train,4
5344,train,2
3087,train,4
2077,train,0
3133,train,4
3828,train,1
2913,train,4
4496,train,4
3670,train,4
4548,train,4
1131,train,4
6435,train,4
3289,train,4
3849,train,4
1819,train,4
2083,train,4
364,train,4
1820,train,2
5040,train,2
7027,train,3
6665,train,4
7928,train,2
3973,train,2
5768,train,4
4224,train,4
426,train,2
4756,train,2
1048,train,4
3623,train,2
7383,train,2
2667,train,2
6071,train,2
1358,train,4
2176,train,4
3407,train,4
7887,train,0
7721,train,3
1137,train,4
4392,train,4
2658,train,2
6266,train,4
5196,train,4
2005,train,2
402,train,4
4565,train,4
1102,train,2
613,train,4
1163,train,2
438,train,4
