combination,num_train,num_test,positive_rate_test,auc,auc_ci_lower,auc_ci_upper,auc_pval,auprc,auprc_ci_lower,auprc_ci_upper,auprc_pval,logloss,logloss_ci_lower,logloss_ci_upper,logloss_pval
0,276,61,0.6557377049180327,0.5,0.5,0.5,1.0,0.6557377049180327,0.5409836065573771,0.7704918032786885,0.538,0.7254621302877305,0.7046705894755384,0.7462536710999228,0.0
1,2132,982,0.07230142566191446,0.6604721633864659,0.5923942569007996,0.7248341673011822,0.0,0.12526322656696665,0.08956667504163199,0.18660939040671354,0.002,0.5381037363079048,0.4266850315941435,0.6627997283090927,0.0
2,71,30,0.03333333333333333,0.896551724137931,0.7586206896551724,1.0,0.0,0.25,0.14285714285714285,1.0,0.0,0.16370714886441007,0.13050728808871917,0.3188549109077516,0.0
-1_0,310,67,0.5970149253731343,0.7083333333333334,0.5677380952380953,0.8226996628691001,0.002,0.7777563066594108,0.6384852022269007,0.8920386288312743,0.006,0.9981515860368511,0.7020009710368073,1.3487195226443207,0.0
-1_1,2166,988,0.07186234817813765,0.6269602346905863,0.5589401968131698,0.6914408711479847,0.0,0.10699237019917743,0.07834933835096167,0.15600169660774696,0.004,0.4835779397408104,0.3829010330629946,0.5916855363416567,0.0
-1_2,105,36,0.027777777777777776,0.8571428571428572,0.7352941176470589,0.9705882352941176,0.0,0.16666666666666666,0.1,0.6,0.0,0.13657566925328568,0.12154531422709985,0.3006947370780219,0.0
-1_3,268,105,0.009523809523809525,0.875,0.8076923076923076,0.9322838872292756,0.0,0.07142857142857142,0.047619047619047616,0.25,0.0,0.054380796787945655,0.05382534198949584,0.14044608431045452,0.0
0_1,2408,1043,0.10642377756471716,0.8659764915129722,0.8294755621115354,0.9000957717485201,0.0,0.5462250720580921,0.44682729788986353,0.6409316780551824,0.0,0.2513380497694859,0.2158594381147348,0.29025643516433447,0.0
0_2,347,91,0.45054945054945056,0.7292682926829268,0.6243585658829561,0.8316898673570718,0.0,0.5781681191936496,0.4463802104256963,0.7444575359911737,0.029,1.2418346232101176,0.8039131073849612,1.70633298856821,0.0
0_3,510,160,0.25625,0.8962902234064357,0.8456099526841192,0.9404780218718304,0.0,0.6600122279206933,0.5126510987724898,0.8108219952510847,0.0,0.6361733145648928,0.40232820795290053,0.8831716741004073,0.0
1_2,2203,1012,0.07114624505928854,0.6281176122931442,0.5637661529819022,0.6888416041937597,0.0,0.10787032169748315,0.0743836023696354,0.1536003751272104,0.014,0.4187257828408606,0.3279445217113046,0.5143308899263024,0.0
1_3,2366,1081,0.0666049953746531,0.6584283118599273,0.594734837042105,0.7273433940492813,0.0,0.11568862641235136,0.08488210467235176,0.18200081602183582,0.002,0.4596777480807358,0.36396083398193524,0.5637334951901234,0.0
2_3,305,129,0.015503875968992248,0.9685039370078741,0.934959349593496,0.9921875,0.0,0.26666666666666666,0.13727272727272732,0.75,0.0,0.0490430886187982,0.027707573852536395,0.0933460033445761,0.0
-1_0_1,2442,1049,0.10581506196377502,0.8672851956434046,0.8306275382778326,0.9026642964337958,0.0,0.5545329950488032,0.4595262127485286,0.6566821549583505,0.0,0.24859237823864191,0.21190006297628008,0.28552947369733095,0.0
-1_0_2,381,97,0.422680412371134,0.8427700348432056,0.7601395460697786,0.9189895470383275,0.0,0.7423214056544893,0.6029600411918797,0.8859600562461517,0.001,0.9359203118553048,0.6371104253431225,1.2626647207470185,0.0
-1_0_3,544,166,0.2469879518072289,0.9123902439024391,0.8652874936538311,0.9498744695008656,0.0,0.6727334214838268,0.5365223363969241,0.8236876308910066,0.0,0.5948120490105048,0.3982986999493069,0.831703338141704,0.0
-1_1_2,2237,1018,0.07072691552062868,0.5698555320648343,0.5074884716258585,0.6311282693026355,0.008,0.08751224360099105,0.06528787587882477,0.1344585702570504,0.061,0.38716473910293997,0.31067159290118185,0.47674078929850017,0.0
-1_1_3,2400,1087,0.06623735050597976,0.6454433497536947,0.5792607143917134,0.7041991903857382,0.0,0.1087907260392374,0.07640324953356423,0.16548897084574782,0.004,0.3793627456339607,0.29826305209440757,0.4680283199901327,0.0
-1_2_3,339,135,0.014814814814814815,0.9360902255639098,0.8409090909090909,1.0,0.0,0.3055555555555556,0.04691558441558442,1.0,0.0,0.055552835278081227,0.02717235631994999,0.11989574956335274,0.0
0_1_2,2479,1073,0.1043802423112768,0.8689516129032258,0.8333234994094498,0.901606324614464,0.0,0.5501359783863266,0.4529663471494019,0.6403758599702585,0.0,0.25154199988033077,0.22186710610903415,0.28383962218869413,0.0
0_1_3,2642,1142,0.09807355516637478,0.8742718446601943,0.8393535539215686,0.908074603928687,0.0,0.5418530369959897,0.4478778651274569,0.6384169779691136,0.0,0.23720618873496768,0.20475956896091452,0.26937524179247896,0.0
0_2_3,581,190,0.22105263157894736,0.9123230373230373,0.8673668710343228,0.9511782022591645,0.0,0.6613392955857994,0.5189412487615868,0.8208833586577196,0.0,0.5669942709147621,0.3681360656704093,0.7838426216276587,0.0
1_2_3,2437,1111,0.06570657065706571,0.6397577005305249,0.5777913052849983,0.697498915280699,0.0,0.1067333159596977,0.07271221700704802,0.15669263187551416,0.003,0.4462382890579149,0.3521832833760138,0.5471307183650763,0.0
-1_0_1_2,2513,1079,0.10379981464318813,0.8643725070172847,0.8286503984548326,0.8983959672960954,0.0,0.5332675814527181,0.4480599572475555,0.6258132485839266,0.0,0.2648535465228908,0.23706134621237948,0.2943441051351206,0.0
-1_0_1_3,2676,1148,0.0975609756097561,0.8728798952013237,0.8380843473011277,0.9056985388611924,0.0,0.5500322447898008,0.45473921520736404,0.6395497469718522,0.0,0.24296235933965982,0.21243378840506016,0.2752163222572922,0.0
-1_0_2_3,615,196,0.21428571428571427,0.9247062461348176,0.8849175645329133,0.9585099333706166,0.0,0.6994764239847422,0.5573319578653361,0.8452540463291961,0.0,0.5095059833863661,0.3466034627885715,0.6981960327123105,0.0
-1_1_2_3,2471,1117,0.06535362578334826,0.587532147168425,0.5247225157168207,0.6509829217419097,0.008,0.08565375508035027,0.06432896535681036,0.12740151549975454,0.031,0.36269238887525024,0.2860776352870936,0.4392853061185019,0.0
0_1_2_3,2713,1172,0.09641638225255973,0.8734237509087719,0.8398645941046134,0.9024075549808672,0.0,0.5274331803919395,0.44203161360264087,0.6192671911389438,0.0,0.24203906974389636,0.21409135439161167,0.2713803848835878,0.0
-1_0_1_2_3,2747,1178,0.09592529711375213,0.8707715318459429,0.8339870751359973,0.9025260710421164,0.0,0.5344618119225863,0.43891511648393067,0.6283338700809218,0.0,0.2381982219956183,0.20913562562526927,0.2725303012620173,0.0
