combination,num_train,num_test,positive_rate_test,auc,auc_ci_lower,auc_ci_upper,auc_pval,auprc,auprc_ci_lower,auprc_ci_upper,auprc_pval,logloss,logloss_ci_lower,logloss_ci_upper,logloss_pval
-1_2,1093,481,0.008316008316008316,0.8482704402515724,0.7418058455114823,0.9354166666666667,0.0,0.035590200992677776,0.010309278350515464,0.0980702838595029,0.01017293997965412,0.055249536317536346,0.013736070984639678,0.11051244061949174,0.0
-1_4,1743,762,0.024934383202099737,0.6875752638662604,0.5541126928003729,0.8116794084952663,0.004,0.05753270718396763,0.028084979802573566,0.12291105701429478,0.013,0.1567211886176271,0.08948775876724398,0.2332325666744228,0.0
0_2,1093,463,0.008639308855291577,0.7320261437908497,0.46529284164858997,0.9869592956488452,0.0888661899897855,0.07186026715557882,0.004337474120082816,0.30421741185935136,0.0755873340143003,0.05653534528088821,0.01962529192563418,0.11040859573292262,0.0
0_4,1743,744,0.025537634408602152,0.863448275862069,0.7653927314361818,0.9388432803961748,0.0,0.1711651326699522,0.08252616000425013,0.34992281196985237,0.0,0.09752810886521643,0.06838257993328614,0.1314110528644393,0.0
-1_0_2,1152,489,0.0081799591002045,0.6943298969072165,0.3920401513737336,0.9769200854156944,0.12981744421906694,0.04897702176232661,0.0036101083032490976,0.2,0.08924949290060852,0.06102935811305974,0.023239528011037187,0.11292537432351632,0.0
-1_0_4,1802,770,0.024675324675324677,0.8582942042189361,0.770467689860709,0.9340134736992087,0.0,0.15717486173648118,0.07329052027756187,0.335790048436357,0.0,0.09862357389644522,0.06999138910243086,0.12982666260197834,0.0
-1_1_2,1137,501,0.007984031936127744,0.8355130784708249,0.7322557114228457,0.9363310895985519,0.0,0.03249281339832521,0.008,0.09217927394471652,0.022380467955239063,0.05323669554556348,0.013328726016895494,0.10722992743938566,0.0
-1_1_4,1787,782,0.024296675191815855,0.7015589432296336,0.5702534608392823,0.8110087032580435,0.002,0.060126843648627644,0.029993958678870686,0.12335392937756696,0.008,0.15270216247787083,0.09162222157950767,0.22584879161201477,0.0
-1_2_3,1246,536,0.007462686567164179,0.8583176691729323,0.792996800287235,0.9230405719354565,0.0,0.031028935932217123,0.009926470588235294,0.07776291505220503,0.0,0.05046195312232936,0.012906053084877987,0.10529873349777522,0.0
-1_2_4,2777,1217,0.018898931799506986,0.7442830092491444,0.6503900124389537,0.839641594487723,0.0,0.06225509269011426,0.03247880139600254,0.15047002058129247,0.001,0.14001197266304452,0.08954859029793512,0.19798648468826505,0.0
-1_3_4,1896,817,0.023255813953488372,0.7270478828650574,0.6073656895767692,0.8411499329242081,0.0,0.07012061444003526,0.03429008392185732,0.15172607754178377,0.002,0.1642208524667814,0.0935737919067053,0.23168639164507743,0.0
0_1_2,1137,483,0.008281573498964804,0.7630480167014614,0.4927904564315353,0.9844074844074844,0.03054989816700611,0.06905847953216375,0.0049881840796019905,0.2857142857142857,0.06517311608961303,0.055532910364251016,0.01929991578531256,0.10583469002492052,0.0
0_1_4,1787,764,0.024869109947643978,0.8404097492052278,0.724600503419453,0.9204748912649998,0.0,0.14379453650284701,0.06796679285718059,0.30946078376857644,0.0,0.10116453905304065,0.07247500419915151,0.134281732019248,0.0
0_2_3,1246,518,0.007722007722007722,0.752431906614786,0.5058139534883721,0.9825918762088974,0.018367346938775512,0.059884304572604526,0.004208776595744681,0.26786535888309493,0.06224489795918367,0.05244144581651936,0.018962747358118752,0.09760209930911862,0.0
0_2_4,2777,1199,0.019182652210175146,0.8606921029281278,0.779589485475817,0.9280249488809441,0.0,0.134036779090762,0.07271948863678943,0.27598697814688,0.0,0.07894731832516247,0.05690320880639075,0.10419388574318787,0.0
0_3_4,1896,799,0.023779724655819776,0.8487854251012146,0.7509646265363129,0.9233489365065125,0.0,0.15140684336133328,0.0720627416799471,0.3371302931784894,0.0,0.09408421462331772,0.06055952622050309,0.13198718299068385,0.0
-1_0_1_2,1196,509,0.007858546168958742,0.7113861386138614,0.3552165354330709,0.9822485207100591,0.09295199182839632,0.05900871009072054,0.004007228915662651,0.24332329317269064,0.07660878447395301,0.055071249547427814,0.023554567444219927,0.09613527902842409,0.0
-1_0_1_4,1846,790,0.024050632911392405,0.855553280087378,0.7657433954536145,0.9360304109550244,0.0,0.15747817185902546,0.0762878652046866,0.33267554839303176,0.0,0.09545627033330772,0.06261497854922189,0.1316130511495043,0.0
-1_0_2_3,1305,544,0.007352941176470588,0.7472222222222222,0.4106813996316758,0.9815651057063056,0.044760935910478125,0.049282377527813635,0.0053379416282642094,0.23060161832702814,0.07019328585961343,0.05149968649251701,0.02384429194696723,0.08719935830917666,0.0
-1_0_2_4,2836,1225,0.018775510204081632,0.8685524126455907,0.7795587573333037,0.9339309806269552,0.0,0.15992408887536172,0.08066268467914389,0.31821778632798303,0.0,0.07652627789957435,0.05095526823010405,0.10582075443612153,0.0
-1_0_3_4,1955,825,0.02303030303030303,0.8584954943189239,0.7571589006995839,0.9356450806904392,0.0,0.16895028948625745,0.08399555121185319,0.35780865429896846,0.0,0.09087722052518599,0.06111817442013627,0.12799307722627415,0.0
-1_1_2_3,1290,556,0.007194244604316547,0.8555253623188406,0.7871677775845112,0.9205058068559416,0.0,0.029382906262539334,0.010494505494505495,0.08351743863781945,0.0020387359836901123,0.048861817901941045,0.012378147479251603,0.10690794838357659,0.0
-1_1_2_4,2821,1237,0.018593371059013743,0.7490688346107013,0.6526758749437801,0.8330751895968032,0.0,0.06387428453406133,0.032851155214880266,0.14424936390209728,0.001,0.13674029268176596,0.08483189343747202,0.1921577696815778,0.0
-1_1_3_4,1940,837,0.022700119474313024,0.7264509072191481,0.6080733201090062,0.8401622905556864,0.001,0.0747188557539572,0.03672982860325163,0.17394285574152768,0.002,0.1598275701382408,0.09727396723748818,0.23560393291389423,0.0
-1_2_3_4,2930,1272,0.018081761006289308,0.7594597417064086,0.6497787037400804,0.850549400435927,0.0,0.06351411496932494,0.030286876829178494,0.15328979533747755,0.001,0.13411077390955095,0.08400123761716917,0.19439263940423582,0.0
0_1_2_3,1290,538,0.007434944237918215,0.7588951310861423,0.5043613707165109,0.9843089723133032,0.02231237322515213,0.06101552391335602,0.004398040806862973,0.27850877340978153,0.058823529411764705,0.04955533881029519,0.017022363780146016,0.09412472269768067,0.0
0_1_2_4,2821,1219,0.018867924528301886,0.8514977461102224,0.7679031999306022,0.9310196243580177,0.0,0.13246424132289358,0.06274300082479521,0.27411147408815967,0.0,0.0795108782218402,0.05427520712418625,0.10506043447945546,0.0
0_1_3_4,1940,819,0.0231990231990232,0.8554605263157895,0.7548600317231025,0.9298685857321651,0.0,0.15468860210641958,0.07767463157543054,0.31641786529159144,0.0,0.09152706890129206,0.06373651883864874,0.1238885437657804,0.0
0_2_3_4,2930,1254,0.018341307814992026,0.8538480556634762,0.7678699199295262,0.9280424475595795,0.0,0.14399992546592555,0.07100929297234541,0.3011885800123432,0.0,0.0767679197043061,0.04986170774098333,0.10341673133586327,0.0
-1_0_1_2_3,1349,564,0.0070921985815602835,0.7272321428571429,0.41157871198568874,0.9837213634341636,0.07331975560081466,0.05585128829211451,0.004301557643924819,0.2526653225806452,0.06109979633401222,0.04870416221615714,0.022411265306632504,0.08612268766268528,0.0
-1_0_1_2_4,2880,1245,0.018473895582329317,0.8526293318152708,0.759655171176142,0.9253487805712712,0.0,0.14821402485744664,0.06995956164737703,0.3205830511935885,0.0,0.07726960897358537,0.053414875433169424,0.10510630758026411,0.0
